financial_industry,suffix,name,exposure,emissions,emissionsPerYearPerEuroTCO2,startDate,endDate,asset_type
Commercial Real Estate - Residencial,CRE RESI,A,489161,  4.0 ,0.0000082091968,2022-01-01,2023-05-05,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,B,777951,  42.2 ,0.00005421159875,2022-01-01,2028-04-10,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,C,26243,  0.1 ,0.000002201954689,2022-01-01,2028-04-10,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,D,118178,  0.9 ,0.000007330379104,2022-01-01,2023-07-11,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,E,20751,  0.1 ,0.000006561219512,2022-01-01,2026-07-06,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,F,182703,  0.6 ,0.000003028077074,2022-01-01,2031-03-23,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,G,28424,  0.2 ,0.000008021103896,2022-01-01,2019-01-14,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,H,27287,  0.2 ,0.00000891456,2022-01-01,2019-01-14,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,I,1074081,  0.9 ,0.000000821137646,2022-01-01,2018-09-14,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,J,110000,  1.2 ,0.00001089557333,2022-01-01,2024-03-16,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,K,69600,  0.9 ,0.00001364927586,2022-01-01,2024-09-12,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,L,144000,  1.4 ,0.000009492355556,2022-01-01,2024-08-31,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,M,46991,  0.5 ,0.00001060331387,2022-01-01,2028-09-03,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,N,15714,  3.3 ,0.000212166528,2022-01-01,2025-01-26,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,O,139026,  1.0 ,0.000007321178403,2022-01-01,2027-02-06,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,P,260417,  1.1 ,0.0000043978496,2022-01-01,2031-08-04,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,Q,250932,  1.1 ,0.000004369680169,2022-01-01,2012-03-27,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,R,663254,  2.1 ,0.000003183771429,2022-01-01,2032-09-11,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,S,119492,  0.7 ,0.000006120171674,2022-01-01,2017-06-30,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,U,11021,  0.0 ,0.000004193693214,2022-01-01,2025-06-18,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,V,68700,  0.9 ,0.00001316924483,2022-01-01,2023-09-25,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,X,69127,  0.6 ,0.00000891456,2022-01-01,2023-04-23,alternative_investments
Commercial Real Estate - Residencial,CRE RESI,Z,285000,  0.7 ,0.000002571215827,2022-01-01,2030-10-16,alternative_investments
Commercial Real Estate - Serviços,CRE SERV,A,9357, 2.4 ,0.000256495755,2022-01-01,2025-04-12,alternative_investments
Commercial Real Estate - Serviços,CRE SERV,B,25762,  355.7 ,0.0001380404144,2022-01-01,2033-05-20,alternative_investments
Commercial Real Estate - Serviços,CRE SERV,C,250000, 59.8 ,0.0002392,2022-01-01,2032-12-22,alternative_investments
Commercial Real Estate - Serviços,CRE SERV,D,11184,  46.2 ,0.00004129336779,2022-01-01,2029-12-02,alternative_investments
Commercial Real Estate - Serviços,CRE SERV,E,296456, 32.1 ,0.0001082792545,2022-01-01,2029-12-02,alternative_investments
Commercial Real Estate - Serviços,CRE SERV,F,117396, 3.9 ,0.00003322076627,2022-01-01,2029-12-02,alternative_investments
